,importance
has_name,0.4342236831636058
age_at_intake_days,0.11150688890930781
sex_FEMALE,0.07771144238210191
sex_MALE,0.07333993503639738
intake_month_sin,0.059059565737892825
intake_month_cos,0.028452055545477244
sex_UNKNOWN,0.02391305463608299
intake_condition_FERAL/FRACTIOUS,0.02076513058537281
intake_condition_NORMAL,0.020169542371429323
intake_dayofweek_cos,0.01830453968531902
intake_dayofweek_sin,0.01624396146631471
animal_type_DOG,0.015376728229187505
intake_type_STRAY,0.011318283989088025
intake_type_OWNER SURRENDER,0.008255176802990873
animal_type_CAT,0.006977883525984974
sex_NEUTERED,0.0058401437598003345
animal_type_RABBIT,0.0054860752499662335
sex_SPAYED,0.004639121242891174
primary_color_BLACK,0.00453333726277393
intake_type_SEIZED/CONFISCATE,0.004087124448539043
intake_type_HOLDING,0.0039533152785024535
primary_color_GRAY/BLUE/SILVER,0.003921039489372241
intake_type_OTHER,0.0038407048580752557
primary_color_WHITE/PINK,0.0037586724961721062
primary_color_BROWN/TAN,0.003371384911546557
intake_condition_ILL/INJURED MILD,0.002923988286391647
primary_color_TABBY,0.0029023896776098094
animal_type_GUINEA PIG,0.0027905276087255844
primary_color_LIGHT/WARM,0.002677354687399568
intake_condition_ILL/INJURED SEVERE,0.002097575321696241
primary_color_MULTI-COLORED,0.001987470696978895
intake_type_RETURN,0.0019824124329314145
primary_color_POINT,0.001759357331162144
primary_color_CALICO,0.0017058607155770384
intake_condition_UNDER AGE/WEIGHT,0.0016607992005077024
animal_type_BIRD,0.0013763984899264324
intake_condition_ILL/INJURED MODERATE,0.0012265560320183495
intake_is_weekend,0.0012016952625144325
primary_color_TORTIE,0.0011872090021889247
intake_condition_OTHER,0.0009269058060949388
intake_condition_BEHAVIOR,0.000827115449050122
animal_type_OTHER,0.000572905596745558
primary_color_OTHER,0.00048627912963168575
intake_type_WILDLIFE,0.0004396869512848497
animal_type_REPTILE,0.0002130828862801384
animal_type_WILD,5.638371091957559e-06
